test_fold,val_fold,test_acc,test_loss,val_best_acc,val_best_loss
1,2,0.565864833906071,1.7887216416949576,0.5056306306306306,1.3698202303743787
2,3,0.5427927927927928,1.8463160539312022,0.5427027027027027,1.4538893798799735
3,4,0.49405405405405406,1.9458240874569286,0.5505050505050505,1.4075362942511997
4,5,0.5585858585858586,1.6369474809616804,0.6068376068376068,1.256943157163717
5,6,0.6271367521367521,1.508823021172972,0.5528554070473876,1.2941106703992074
6,7,0.6208991494532199,1.327412375034048,0.5847255369928401,1.1249274165316854
7,8,0.6503579952267303,1.2949960391775195,0.6141439205955335,1.1650524400631148
8,9,0.6513647642679901,1.5306806463894307,0.6274509803921569,1.4946435051878877
9,10,0.6029411764705882,1.7480483889261913,0.5555555555555556,1.409228482336368
10,1,0.5543608124253285,1.5786342926253125,0.6071019473081328,1.34786504750902
