study,model,trial,state,value,batch,lr,dropout,epochs
us8k_optuna,cnn,0,COMPLETE,0.5185185185185185,32,0.00018410729205738696,0.17799726016810133,4
us8k_optuna,cnn,1,COMPLETE,0.5794504181600956,16,0.0044447541666908135,0.5162213204002108,7
us8k_optuna,cnn,2,COMPLETE,0.5519713261648745,64,0.0005418282319533242,0.24561457009902096,14
us8k_optuna,cnn,3,COMPLETE,0.5173237753882916,64,0.0021576967455896826,0.19983689107917987,12
us8k_optuna,cnn,4,PRUNED,0.3870967741935484,48,0.00012897950480855554,0.5744427686266667,20
us8k_optuna,cnn,5,COMPLETE,0.5985663082437276,16,0.0005595074635794797,0.16101911742238942,12
us8k_optuna,cnn,6,COMPLETE,0.6379928315412187,32,0.00033852267834519784,0.3600340105889054,13
us8k_optuna,cnn,7,PRUNED,0.24372759856630824,32,0.00331348361550895,0.3989499894055426,19
us8k_optuna,cnn,8,PRUNED,0.40979689366786143,64,0.00045745782054754043,0.23567451588694796,18
us8k_optuna,cnn,9,PRUNED,0.3213859020310633,48,0.0023062618121677952,0.13727532183988542,20
us8k_optuna,cnn,10,PRUNED,0.48148148148148145,32,0.00026489734328916017,0.3606608250368978,15
us8k_optuna,cnn,11,PRUNED,0.35842293906810035,16,0.0009472070046403248,0.43384156762685744,10
us8k_optuna,cnn,12,PRUNED,0.34528076463560337,16,0.0010681740901367072,0.28942093992851975,10
us8k_optuna,cnn,13,PRUNED,0.4958183990442055,16,0.00031369268174865494,0.3363570033289744,15
us8k_optuna,cnn,14,PRUNED,0.5125448028673835,32,0.000707075468193196,0.10398704161639337,12
us8k_optuna,cnn,15,COMPLETE,0.6606929510155317,16,0.0003521054790675625,0.4806232957662613,8
us8k_optuna,cnn,16,PRUNED,0.4265232974910394,32,0.00011404110350940064,0.4717435734096862,7
us8k_optuna,cnn,17,PRUNED,0.5101553166069295,48,0.0002630701432791801,0.5996812193207758,8
us8k_optuna,cnn,18,COMPLETE,0.5579450418160096,32,0.0003644558620232201,0.5047894591765573,4
us8k_optuna,cnn,19,COMPLETE,0.6642771804062126,16,0.0001850379667314668,0.42964299777632087,9
